DATE,VALUE
2000-01-01,105.2960
2000-02-01,109.3885
2000-03-01,106.3074
2000-04-01,105.6270
2000-05-01,108.3205
2000-06-01,106.1255
2000-07-01,108.2115
2000-08-01,108.0804
2000-09-01,106.8375
2000-10-01,108.4429
2000-11-01,109.0095
2000-12-01,112.2090
2001-01-01,116.6719
2001-02-01,116.2337
2001-03-01,121.5050
2001-04-01,123.7710
2001-05-01,121.7682
2001-06-01,122.3510
2001-07-01,124.4981
2001-08-01,121.3670
2001-09-01,118.6117
2001-10-01,121.4536
2001-11-01,122.4055
2001-12-01,127.5945
2002-01-01,132.6833
2002-02-01,133.6426
2002-03-01,131.0610
2002-04-01,130.7718
2002-05-01,126.3750
2002-06-01,123.2905
2002-07-01,117.8991
2002-08-01,118.9927
2002-09-01,121.0780
2002-10-01,123.9077
2002-11-01,121.6079
2002-12-01,121.8929
2003-01-01,118.8133
2003-02-01,119.3379
2003-03-01,118.6871
2003-04-01,119.8950
2003-05-01,117.3681
2003-06-01,118.3290
2003-07-01,118.6959
2003-08-01,118.6624
2003-09-01,114.8000
2003-10-01,109.4955
2003-11-01,109.1778
2003-12-01,107.7377
2004-01-01,106.2685
2004-02-01,106.7079
2004-03-01,108.5157
2004-04-01,107.6564
2004-05-01,112.1960
2004-06-01,109.4336
2004-07-01,109.4871
2004-08-01,110.2336
2004-09-01,110.0914
2004-10-01,108.7835
2004-11-01,104.6990
2004-12-01,103.8104
2005-01-01,103.3410
2005-02-01,104.9442
2005-03-01,105.2543
2005-04-01,107.1938
2005-05-01,106.5952
2005-06-01,108.7473
2005-07-01,111.9535
2005-08-01,110.6065
2005-09-01,111.2390
2005-10-01,114.8695
2005-11-01,118.4540
2005-12-01,118.4624
2006-01-01,115.4765
2006-02-01,117.8605
2006-03-01,117.2778
2006-04-01,117.0695
2006-05-01,111.7305
2006-06-01,114.6250
2006-07-01,115.7670
2006-08-01,115.9243
2006-09-01,117.2145
2006-10-01,118.6090
2006-11-01,117.3205
2006-12-01,117.3220
2007-01-01,120.4471
2007-02-01,120.5047
2007-03-01,117.2600
2007-04-01,118.9324
2007-05-01,120.7732
2007-06-01,122.6886
2007-07-01,121.4148
2007-08-01,116.7335
2007-09-01,115.0435
2007-10-01,115.8661
2007-11-01,111.0729
2007-12-01,112.4490
2008-01-01,107.8181
2008-02-01,107.0300
2008-03-01,100.7562
2008-04-01,102.6777
2008-05-01,104.3595
2008-06-01,106.9152
2008-07-01,106.8518
2008-08-01,109.3624
2008-09-01,106.5748
2008-10-01,99.9659
2008-11-01,96.9656
2008-12-01,91.2750
2009-01-01,90.1205
