DAY,HOUR,DUQ,DUQ per Customer
8/1/2013,100,1575.7,2.7120
8/1/2013,200,1539.2,2.6492
8/1/2013,300,1490.2,2.5649
8/1/2013,400,1472.5,2.5344
8/1/2013,500,1482.4,2.5514
8/1/2013,600,1558.5,2.6824
8/1/2013,700,1678.3,2.8886
8/1/2013,800,1740.8,2.9961
8/1/2013,900,1831.8,3.1528
8/1/2013,1000,1910.9,3.2889
8/1/2013,1100,1975.1,3.3994
8/1/2013,1200,2048.9,3.5264
8/1/2013,1300,2107.4,3.6270
8/1/2013,1400,2162.6,3.7220
8/1/2013,1500,2207.5,3.7993
8/1/2013,1600,2232.7,3.8427
8/1/2013,1700,2265.1,3.8984
8/1/2013,1800,2269.7,3.9063
8/1/2013,1900,2220.3,3.8213
8/1/2013,2000,2141.5,3.6856
8/1/2013,2100,2095.8,3.6070
8/1/2013,2200,2046.5,3.5221
8/1/2013,2300,1928.6,3.3192
8/1/2013,2400,1781.9,3.0667
8/2/2013,100,1642.8,2.8273
8/2/2013,200,1560.9,2.6863
8/2/2013,300,1482.7,2.5518
8/2/2013,400,1440.4,2.4789
8/2/2013,500,1451.2,2.4975
8/2/2013,600,1473.9,2.5366
8/2/2013,700,1584.3,2.7266
8/2/2013,800,1663.6,2.8630
8/2/2013,900,1758.6,3.0265
8/2/2013,1000,1866.2,3.2117
8/2/2013,1100,1957.6,3.3690
8/2/2013,1200,2002.2,3.4457
8/2/2013,1300,2030,3.4935
8/2/2013,1400,2081.5,3.5822
8/2/2013,1500,2068.7,3.5601
8/2/2013,1600,2059.9,3.5450
8/2/2013,1700,2041.7,3.5136
8/2/2013,1800,1944.4,3.3462
8/2/2013,1900,1900.5,3.2706
8/2/2013,2000,1850.6,3.1847
8/2/2013,2100,1841.1,3.1684
8/2/2013,2200,1841.7,3.1694
8/2/2013,2300,1762.3,3.0327
8/2/2013,2400,1669.7,2.8734
8/3/2013,100,1564.3,2.6920
8/3/2013,200,1512.2,2.6023
8/3/2013,300,1453,2.5004
8/3/2013,400,1425.9,2.4538
8/3/2013,500,1421.3,2.4459
8/3/2013,600,1433.1,2.4662
8/3/2013,700,1460.8,2.5138
8/3/2013,800,1474.2,2.5369
8/3/2013,900,1539.6,2.6494
8/3/2013,1000,1605.7,2.7631
8/3/2013,1100,1677.1,2.8860
8/3/2013,1200,1714.2,2.9498
8/3/2013,1300,1776.5,3.0570
8/3/2013,1400,1823.3,3.1376
8/3/2013,1500,1854.7,3.1916
8/3/2013,1600,1901.2,3.2716
8/3/2013,1700,1929.6,3.3204
8/3/2013,1800,1913.8,3.2932
8/3/2013,1900,1867.7,3.2139
8/3/2013,2000,1808.9,3.1127
8/3/2013,2100,1753.9,3.0181
8/3/2013,2200,1734.2,2.9841
8/3/2013,2300,1626.5,2.7988
8/3/2013,2400,1543,2.6551
8/4/2013,100,1446.5,2.4891
8/4/2013,200,1375.4,2.3667
8/4/2013,300,1326.6,2.2827
8/4/2013,400,1279.2,2.2012
8/4/2013,500,1256.3,2.1617
8/4/2013,600,1274.4,2.1929
8/4/2013,700,1281.4,2.2049
8/4/2013,800,1290.2,2.2201
8/4/2013,900,1344.5,2.3135
8/4/2013,1000,1436.6,2.4719
8/4/2013,1100,1506.1,2.5915
8/4/2013,1200,1571.6,2.7042
8/4/2013,1300,1612.2,2.7741
8/4/2013,1400,1647.6,2.8350
8/4/2013,1500,1659.9,2.8561
8/4/2013,1600,1689.7,2.9074
8/4/2013,1700,1734.8,2.9850
8/4/2013,1800,1751.4,3.0135
8/4/2013,1900,1723.6,2.9657
8/4/2013,2000,1686.6,2.9020
8/4/2013,2100,1666.3,2.8671
8/4/2013,2200,1693.2,2.9134
8/4/2013,2300,1635.3,2.8137
8/4/2013,2400,1527.9,2.6289
8/5/2013,100,1433.9,2.4672
8/5/2013,200,1377.7,2.3705
8/5/2013,300,1352.4,2.3269
8/5/2013,400,1341.6,2.3083
8/5/2013,500,1355.6,2.3324
8/5/2013,600,1407.7,2.4220
8/5/2013,700,1505.6,2.5905
8/5/2013,800,1585.5,2.7279
8/5/2013,900,1684,2.8974
8/5/2013,1000,1757.8,3.0244
8/5/2013,1100,1804.7,3.1051
8/5/2013,1200,1899.4,3.2680
8/5/2013,1300,1918.3,3.3005
8/5/2013,1400,1938.2,3.3347
8/5/2013,1500,1958,3.3688
8/5/2013,1600,1997,3.4359
8/5/2013,1700,1961.2,3.3743
8/5/2013,1800,1909.4,3.2851
8/5/2013,1900,1872,3.2208
8/5/2013,2000,1842,3.1691
8/5/2013,2100,1850.4,3.1836
8/5/2013,2200,1841.8,3.1688
8/5/2013,2300,1731.4,2.9788
8/5/2013,2400,1605.7,2.7626
8/6/2013,100,1485.2,2.5552
8/6/2013,200,1417.3,2.4384
8/6/2013,300,1387,2.3863
8/6/2013,400,1354.5,2.3303
8/6/2013,500,1366.3,2.3506
8/6/2013,600,1445,2.4860
8/6/2013,700,1535,2.6409
8/6/2013,800,1596.2,2.7461
8/6/2013,900,1692.9,2.9125
8/6/2013,1000,1783,3.0675
8/6/2013,1100,1865.7,3.2098
8/6/2013,1200,1942.6,3.3420
8/6/2013,1300,2026.3,3.4860
8/6/2013,1400,2051.8,3.5299
8/6/2013,1500,2123.3,3.6529
8/6/2013,1600,2151,3.7005
8/6/2013,1700,2176.2,3.7439
8/6/2013,1800,2181.8,3.7535
8/6/2013,1900,2147.2,3.6939
8/6/2013,2000,2093.2,3.6010
8/6/2013,2100,2054.1,3.5338
8/6/2013,2200,1976.7,3.4006
8/6/2013,2300,1886.7,3.2457
8/6/2013,2400,1701,2.9263
8/7/2013,100,1554.3,2.6739
8/7/2013,200,1480.9,2.5476
8/7/2013,300,1437.1,2.4723
8/7/2013,400,1408,2.4222
8/7/2013,500,1400.1,2.4086
8/7/2013,600,1493.2,2.5687
8/7/2013,700,1562.2,2.6874
8/7/2013,800,1653.2,2.8440
8/7/2013,900,1746.5,3.0045
8/7/2013,1000,1857.6,3.1956
8/7/2013,1100,1973.3,3.3946
8/7/2013,1200,2009.6,3.4570
8/7/2013,1300,2097.6,3.6084
8/7/2013,1400,2209.6,3.8010
8/7/2013,1500,2299.9,3.9564
8/7/2013,1600,2367.5,4.0726
8/7/2013,1700,2355.7,4.0523
8/7/2013,1800,2276.2,3.9156
8/7/2013,1900,2157.1,3.7107
8/7/2013,2000,2084.3,3.5854
8/7/2013,2100,2058.2,3.5405
8/7/2013,2200,2030.7,3.4932
8/7/2013,2300,1886.3,3.2448
8/7/2013,2400,1770.3,3.0452
8/8/2013,100,1656.6,2.8496
8/8/2013,200,1577.3,2.7132
8/8/2013,300,1538,2.6456
8/8/2013,400,1514.2,2.6047
8/8/2013,500,1506.5,2.5914
8/8/2013,600,1573.8,2.7072
8/8/2013,700,1685.4,2.8991
8/8/2013,800,1769.7,3.0441
8/8/2013,900,1862.1,3.2031
